year,city,country,avg_temp
1857,Windhoek,Namibia,18.82
1858,Windhoek,Namibia,19.12
1859,Windhoek,Namibia,19.18
1860,Windhoek,Namibia,19.39
1861,Windhoek,Namibia,19.14
1862,Windhoek,Namibia,18.75
1863,Windhoek,Namibia,19.14
1864,Windhoek,Namibia,19.15
1865,Windhoek,Namibia,19.49
1866,Windhoek,Namibia,19.40
1867,Windhoek,Namibia,19.49
1868,Windhoek,Namibia,19.14
1869,Windhoek,Namibia,19.49
1870,Windhoek,Namibia,19.17
1871,Windhoek,Namibia,19.28
1872,Windhoek,Namibia,19.27
1873,Windhoek,Namibia,18.72
1874,Windhoek,Namibia,19.28
1875,Windhoek,Namibia,19.01
1876,Windhoek,Namibia,19.01
1877,Windhoek,Namibia,19.49
1878,Windhoek,Namibia,19.39
1879,Windhoek,Namibia,18.82
1880,Windhoek,Namibia,18.73
1881,Windhoek,Namibia,19.05
1882,Windhoek,Namibia,19.20
1883,Windhoek,Namibia,19.13
1884,Windhoek,Namibia,18.91
1885,Windhoek,Namibia,19.42
1886,Windhoek,Namibia,19.50
1887,Windhoek,Namibia,19.21
1888,Windhoek,Namibia,18.73
1889,Windhoek,Namibia,19.54
1890,Windhoek,Namibia,18.74
1891,Windhoek,Namibia,19.38
1892,Windhoek,Namibia,18.58
1893,Windhoek,Namibia,19.38
1894,Windhoek,Namibia,19.22
1895,Windhoek,Namibia,19.22
1896,Windhoek,Namibia,19.61
1897,Windhoek,Namibia,19.35
1898,Windhoek,Namibia,18.84
1899,Windhoek,Namibia,19.33
1900,Windhoek,Namibia,19.78
1901,Windhoek,Namibia,19.52
1902,Windhoek,Namibia,19.23
1903,Windhoek,Namibia,19.00
1904,Windhoek,Namibia,18.81
1905,Windhoek,Namibia,19.10
1906,Windhoek,Namibia,18.94
1907,Windhoek,Namibia,18.81
1908,Windhoek,Namibia,19.06
1909,Windhoek,Namibia,19.36
1910,Windhoek,Namibia,19.48
1911,Windhoek,Namibia,19.24
1912,Windhoek,Namibia,19.13
1913,Windhoek,Namibia,19.71
1914,Windhoek,Namibia,19.72
1915,Windhoek,Namibia,19.52
1916,Windhoek,Namibia,19.66
1917,Windhoek,Namibia,19.29
1918,Windhoek,Namibia,19.04
1919,Windhoek,Namibia,19.54
1920,Windhoek,Namibia,19.72
1921,Windhoek,Namibia,19.75
1922,Windhoek,Namibia,20.36
1923,Windhoek,Namibia,19.66
1924,Windhoek,Namibia,19.63
1925,Windhoek,Namibia,19.20
1926,Windhoek,Namibia,20.12
1927,Windhoek,Namibia,20.44
1928,Windhoek,Namibia,19.66
1929,Windhoek,Namibia,20.00
